FODAAR;FMAANED;TID;INDHOLD
1995;Januar;2020;6979
1995;Februar;2020;6375
1995;Marts;2020;7114
1995;April;2020;6785
1995;Maj;2020;6928
1995;Juni;2020;6855
1995;Juli;2020;7257
1995;August;2020;7261
1995;September;2020;6859
1995;Oktober;2020;6670
1995;November;2020;6230
1995;December;2020;6055
2000;Januar;2020;6150
2000;Februar;2020;5560
2000;Marts;2020;6020
2000;April;2020;6205
2000;Maj;2020;6008
2000;Juni;2020;6069
2000;Juli;2020;6387
2000;August;2020;6231
2000;September;2020;6002
2000;Oktober;2020;5944
2000;November;2020;5540
2000;December;2020;5507
2005;Januar;2020;5842
2005;Februar;2020;5055
2005;Marts;2020;5652
2005;April;2020;5593
2005;Maj;2020;5759
2005;Juni;2020;5639
2005;Juli;2020;6048
2005;August;2020;6055
2005;September;2020;5806
2005;Oktober;2020;5672
2005;November;2020;5293
2005;December;2020;5116
2010;Januar;2020;5793
2010;Februar;2020;5230
2010;Marts;2020;5633
2010;April;2020;5168
2010;Maj;2020;5632
2010;Juni;2020;5841
2010;Juli;2020;5792
2010;August;2020;5788
2010;September;2020;5806
2010;Oktober;2020;5567
2010;November;2020;5193
2010;December;2020;5079