FODAAR;FMAANED;FDAG;TID;INDHOLD
1899;Januar;1.;2020;0
1900;Januar;1.;2020;0
1901;Januar;1.;2020;0
1902;Januar;1.;2020;0
1903;Januar;1.;2020;0
1904;Januar;1.;2020;0
1905;Januar;1.;2020;0
1906;Januar;1.;2020;0
1907;Januar;1.;2020;0
1908;Januar;1.;2020;0
1909;Januar;1.;2020;0
1910;Januar;1.;2020;0
1911;Januar;1.;2020;0
1912;Januar;1.;2020;0
1913;Januar;1.;2020;0
1914;Januar;1.;2020;0
1915;Januar;1.;2020;1
1916;Januar;1.;2020;0
1917;Januar;1.;2020;0
1918;Januar;1.;2020;0
1919;Januar;1.;2020;1
1920;Januar;1.;2020;6
1921;Januar;1.;2020;2
1922;Januar;1.;2020;1
1923;Januar;1.;2020;4
1924;Januar;1.;2020;6
1925;Januar;1.;2020;7
1926;Januar;1.;2020;17
1927;Januar;1.;2020;22
1928;Januar;1.;2020;20
1929;Januar;1.;2020;27
1930;Januar;1.;2020;35
1931;Januar;1.;2020;40
1932;Januar;1.;2020;31
1933;Januar;1.;2020;46
1934;Januar;1.;2020;69
1935;Januar;1.;2020;55
1936;Januar;1.;2020;58
1937;Januar;1.;2020;76
1938;Januar;1.;2020;117
1939;Januar;1.;2020;105
1940;Januar;1.;2020;129
1941;Januar;1.;2020;128
1942;Januar;1.;2020;134
1943;Januar;1.;2020;157
1944;Januar;1.;2020;160
1945;Januar;1.;2020;168
1946;Januar;1.;2020;198
1947;Januar;1.;2020;212
1948;Januar;1.;2020;192
1949;Januar;1.;2020;198
1950;Januar;1.;2020;213
1951;Januar;1.;2020;220
1952;Januar;1.;2020;195
1953;Januar;1.;2020;252
1954;Januar;1.;2020;239
1955;Januar;1.;2020;270
1956;Januar;1.;2020;292
1957;Januar;1.;2020;273
1958;Januar;1.;2020;269
1959;Januar;1.;2020;269
1960;Januar;1.;2020;322
1961;Januar;1.;2020;282
1962;Januar;1.;2020;323
1963;Januar;1.;2020;311
1964;Januar;1.;2020;354
1965;Januar;1.;2020;404
1966;Januar;1.;2020;404
1967;Januar;1.;2020;325
1968;Januar;1.;2020;334
1969;Januar;1.;2020;335
1970;Januar;1.;2020;350
1971;Januar;1.;2020;335
1972;Januar;1.;2020;341
1973;Januar;1.;2020;347
1974;Januar;1.;2020;353
1975;Januar;1.;2020;343
1976;Januar;1.;2020;311
1977;Januar;1.;2020;323
1978;Januar;1.;2020;309
1979;Januar;1.;2020;285
1980;Januar;1.;2020;375
1981;Januar;1.;2020;318
1982;Januar;1.;2020;347
1983;Januar;1.;2020;307
1984;Januar;1.;2020;380
1985;Januar;1.;2020;357
1986;Januar;1.;2020;360
1987;Januar;1.;2020;412
1988;Januar;1.;2020;396
1989;Januar;1.;2020;381
1990;Januar;1.;2020;461
1991;Januar;1.;2020;395
1992;Januar;1.;2020;387
1993;Januar;1.;2020;352
1994;Januar;1.;2020;375
1995;Januar;1.;2020;391
1996;Januar;1.;2020;334
1997;Januar;1.;2020;354
1998;Januar;1.;2020;336
1999;Januar;1.;2020;305
2000;Januar;1.;2020;323
2001;Januar;1.;2020;296
2002;Januar;1.;2020;285
2003;Januar;1.;2020;276
2004;Januar;1.;2020;306
2005;Januar;1.;2020;295
2006;Januar;1.;2020;302
2007;Januar;1.;2020;313
2008;Januar;1.;2020;318
2009;Januar;1.;2020;332
2010;Januar;1.;2020;308
2011;Januar;1.;2020;298
2012;Januar;1.;2020;268
2013;Januar;1.;2020;218
2014;Januar;1.;2020;204
2015;Januar;1.;2020;167
2016;Januar;1.;2020;120
2017;Januar;1.;2020;131
2018;Januar;1.;2020;120
2019;Januar;1.;2020;111