CIVILSTAND;TID;OMRÅDE;INDHOLD
Ugift;2008K1;København;309661
Ugift;2009K1;København;317126
Ugift;2010K1;København;325562
Ugift;2011K1;København;335339
Ugift;2012K1;København;343978
Ugift;2013K1;København;353507
Ugift;2014K1;København;362566
Ugift;2015K1;København;371642
Ugift;2016K1;København;381364
Ugift;2017K1;København;389741
Ugift;2018K1;København;398105
Ugift;2019K1;København;405616
Ugift;2020K1;København;412512
Gift/separeret;2008K1;København;128556
Gift/separeret;2009K1;København;130995
Gift/separeret;2010K1;København;133196
Gift/separeret;2011K1;København;135422
Gift/separeret;2012K1;København;136827
Gift/separeret;2013K1;København;138132
Gift/separeret;2014K1;København;138830
Gift/separeret;2015K1;København;139613
Gift/separeret;2016K1;København;140881
Gift/separeret;2017K1;København;143176
Gift/separeret;2018K1;København;145479
Gift/separeret;2019K1;København;147974
Gift/separeret;2020K1;København;150458
Enke/enkemand;2008K1;København;21555
Enke/enkemand;2009K1;København;20600
Enke/enkemand;2010K1;København;19761
Enke/enkemand;2011K1;København;18963
Enke/enkemand;2012K1;København;18201
Enke/enkemand;2013K1;København;17524
Enke/enkemand;2014K1;København;16918
Enke/enkemand;2015K1;København;16492
Enke/enkemand;2016K1;København;16037
Enke/enkemand;2017K1;København;15607
Enke/enkemand;2018K1;København;15238
Enke/enkemand;2019K1;København;14868
Enke/enkemand;2020K1;København;14630
Fraskilt;2008K1;København;50089
Fraskilt;2009K1;København;49853
Fraskilt;2010K1;København;49689
Fraskilt;2011K1;København;49818
Fraskilt;2012K1;København;50044
Fraskilt;2013K1;København;50277
Fraskilt;2014K1;København;51243
Fraskilt;2015K1;København;52437
Fraskilt;2016K1;København;53199
Fraskilt;2017K1;København;53957
Fraskilt;2018K1;København;54466
Fraskilt;2019K1;København;54946
Fraskilt;2020K1;København;54740